DATE	Puits	ACTIVITE	SOUS ACTIVITE	Heure de fermeture	Heure d'ouverture	Débit initail 	Débit après trvx 	Observation
06/02/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:20	9:10	875	844	En vue Clean Out 
06/02/2023	LNB712-CE	CTU	Clean Out	10:50	11:05	844	853	
06/02/2023	LNB712-CE	CTU	Clean Out	13:00	14:00	853	1335	
07/02/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	15:20	16:15	1316	1244	
07/02/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	8:50	9:55	742	706	En vue Clean Out Négatif
07/02/2023	LNB234-CE	CTU	Clean Out	14:05	16:10	706	520	
07/02/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	18:10	22:15	520	685	et Dégorgement 
08/02/2023	LNB627-CE	CTU	Clean Out	10:20	11:30	765	1050	
08/02/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	8:15	8:50	990	900	En vue Clean Out 
08/02/2023	LNB136-CE	CTU	Clean Out	12:15	13:15	900	1336	
09/02/2023	LNB136-CE	SLICKLINE	Pose Storm Choke	14:30	15:00	1314	1236	
09/02/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	10:35	12:05	940	909	
14/02/2023	LNB627-CE	CTU	Clean Out	11:30	12:20	809	970	
15/02/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	8:40	9:10	1006	1020	En vue Clean Out
15/02/2023	LNB136-CE	CTU	Clean Out	12:00	13:50	1020	1348	
16/02/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	11:25	12:30	677	638	Negatif
17/02/2023	LNB234-CE	CTU	Clean Out	10:35	12:35	613	826	
18/02/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	7:45	9:00	871	825	En vue Clean Out
18/02/2023	LNB712-CE	CTU	Clean Out	11:40	12:45	825	1320	
19/02/2023	LNB627-CE	CTU	Clean Out	10:05	10:55	735	997	
22/02/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	15:40	16:20	1304	1230	
23/02/2023	LNB136-CE	CTU	Clean Out	12:00	13:00	1093	1355	
25/02/2023	LNB234-CE	CTU	Clean Out	11:15	13:15	680	540	
26/02/2023	LNB627-CE	CTU	Clean Out	9:25	10:25	700	1015	
01/03/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:10	9:10	835	875	En vue Clean Out
01/03/2023	LNB712-CE	CTU	Clean Out	14:10	15:05	875	1320	
02/03/2023	LNB136-CE	CTU	Clean Out	10:40	11:30	961	1345	
04/03/2023	LNB627-CE	CTU	Clean Out	10:40	11:50	698	1000	
05/03/2023	LNB547-CE	SLICKLINE	Retrait Storm Choke	8:35	9:40	1210	1245	En vue Clean Out
05/03/2023	LNB547-CE	CTU	Clean Out	12:00	13:45	1245	1258	
07/03/2023	LNB547-CE	SLICKLINE	Pose Storm Choke	9:35	10:30	1379	1312	
08/03/2023	LNB234-CE	CTU	Clean Out	7:40	8:20	646	600	
08/03/2023	LNB234-CE	DEGORGEMENT		13:30	17:50	600	479	
09/03/2023	LNB136-CE	CTU	Clean Out	9:50	11:05	1097	1340	
10/03/2023	LNB627-CE	CTU	Clean Out	10:15	11:15	715	1010	
12/03/2023	LNB712-CE	CTU	Clean Out	9:15	10:30	988	1390	
13/03/2023	LNB136-CE	SLICKLINE	Pose Storm Choke	8:15	10:50	1251	1165	
15/03/2023	LNB627-CE	CTU	Clean Out	12:25	13:25	715	1074	
15/03/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	11:45	12:40	1367	1294	
16/03/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	9:20	10:30	1025	1050	
17/03/2023	LNB136-CE	CTU	Clean Out	11:55	12:35	939	1340	
18/03/2023	LNB712-CE	RESEAU DE COLLECTE	Arrêt Collecteur	11:50	14:40	1289	1258	Raccordement deuxième ligne 24’’ W8M2 vers W8M1 
19/03/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	10:50	12:00	989	979	
19/03/2023	LNB234-CE	CTU	Clean Out	8:00	8:45	672	816	
19/03/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	13:50	14:40	816	971	
20/03/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	12:52	13:45	802	827	En vue Clean Out
21/03/2023	LNB627-CE	CTU	Clean Out	9:05	10:10	802	1017	
21/03/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	11:55	12:40	901	794	
22/03/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	13:40	14:20	1018	1019	
24/03/2023	LNB136-CE	CTU	Clean Out	9:50	10:35	1028	1308	
24/03/2023	LNB234-CE	CTU	Clean Out	10:00	11:30	639	866	
24/03/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	13:15	13:50	866	987	En vue Clean Out 
25/03/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:05	8:50	970	981	En vue Clean Out 
25/03/2023	LNB712-CE	CTU	Clean Out	12:00	13:00	981	1389	
26/03/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	8:35	9:05	941	979	En vue Clean Out 
28/03/2023	LNB234-CE	CTU	Clean Out	10:10	11:05	736	984	
29/03/2023	LNB627-CE	CTU	Clean Out	9:50	10:55	775	965	
29/03/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	10:30	11:15	970	892	
01/04/2023	LNB136-CE	CTU	Clean Out	9:50	11:00	1132	1277	
03/04/2023	LNB234-CE	MAINTENANCE SURFACE	Intervention Sur Arbre De Noël	9:55	11:00	786	780	Changement vanne de sommet
04/04/2023	LNB712-CE	CTU	Clean Out	10:10	11:10	1124	1379	
05/04/2023	LNB627-CE	CTU	Clean Out	11:20	12:20	667	1095	
05/04/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	8:30	9:40	685	697	Négatif 
05/04/2023	LNB234-CE	CTU	Clean Out	12:15	13:25	697	697	
05/04/2023	LNB136-CE	POMPAGE	Bullheading Pour Nettoyage	15:00	18:00	1050	1113	
07/04/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	9:45	11:00	1044	1011	
08/04/2023	LNB234-CE	CTU	Clean Out	11:45	13:45	642	608	
08/04/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	16:50	17:30	608	784	
11/04/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	8:00	9:05	760	780	En vue Clean Out 
11/04/2023	LNB627-CE	CTU	Clean Out	12:50	13:50	780	1087	
11/04/2023	LNB547-CE	SLICKLINE	Retrait Storm Choke	10:15	11:05	1229	1238	En vue Clean Out 
11/04/2023	LNB547-CE	CTU	Clean Out	14:00	14:40	1238	1226	
12/04/2023	LNB234-CE	DECLENCHEMENT	Manque Tension	11:00	13:10	907	907	
13/04/2023	LNB136-CE	CTU	Clean Out	9:30	10:15	788	1277	
14/04/2023	LNB712-CE	CTU	Clean Out	9:40	11:00	1025	1354	
14/04/2023	LNB234-CE	CTU	Clean Out	11:05	12:35	787	967	
15/04/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	10:40	11:40	955	889	
16/04/2023	LNB627-CE	CTU	Clean Out	9:55	10:55	875	1030	
17/04/2023	LNB136-CE	SLICKLINE	Pose Storm Choke	9:10	10:40	1175	1104	
17/04/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	11:15	12:05	1343	1285	
19/04/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	8:00	9:50	830	880	En vue Clean Out
19/04/2023	LNB136-CE	CTU	Clean Out	13:20	14:20	880	1295	
20/04/2023	LNB547-CE	SLICKLINE	Pose Storm Choke	10:15	11:00	1253	1192	
21/04/2023	LNB136-CE	SLICKLINE	Pose Storm Choke	8:45	9:45	1251	1150	
22/04/2023	LNB627-CE	CTU	Clean Out	12:00	12:50	941	1015	
23/04/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	9:00	9:55	1020	976	
23/04/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	7:35	8:40	1275	1355	En vue Clean Out
24/04/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	7:30	8:40	945	975	En vue Clean Out
24/04/2023	LNB136-CE	CTU	Clean Out	12:45	13:30	975	1303	
25/04/2023	LNB136-CE	SLICKLINE	Pose Storm Choke	9:00	10:05	1264	1115	
26/04/2023	LNB712-CE	CTU	Clean Out	11:30	13:30	1008	1375	
28/04/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:30	10:40	1360	1286	
28/04/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	8:30	9:30	731	788	En vue Clean Out
28/04/2023	LNB627-CE	CTU	Clean Out	12:30	13:25	788	1006	
28/04/2023	LNB234-CE	CTU	Clean Out	10:40	12:40	728	825	
28/04/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	17:00	18:00	825	942	
29/04/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	12:40	15:20	1015	991	
29/04/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	12:30	13:40	950	880	
30/04/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	7:50	8:50	901	953	En vue Clean Out
30/04/2023	LNB136-CE	CTU	Clean Out	11:50	13:30	953	1315	
02/05/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	9:10	10:30	700	735	En vue Clean Out
03/05/2023	LNB234-CE	CTU	Clean Out	11:05	12:40	723	985	
04/05/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	9:40	10:30	732	740	En vue Clean Out
04/05/2023	LNB627-CE	CTU	Clean Out	13:35	14:35	740	1044	
05/05/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	10:05	11:30	957	967	
05/05/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	13:05	14:05	967	904	
05/05/2023	LNB547-CE	SLICKLINE	Retrait Storm Choke	9:15	10:20	1205	1233	En vue Clean Out
06/05/2023	LNB136-CE	CTU	Clean Out	11:35	12:35	875	1295	
09/05/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	7:55	9:00	1160	1166	En vue Clean Out Négatif
10/05/2023	LNB627-CE	CTU	Clean Out	9:40	10:50	716	1068	
10/05/2023	LNB712-CE	CTU	Clean Out	10:50	13:05	1107	1000	
10/05/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	15:15	15:40	1000	1300	
11/05/2023	LNB136-CE	CTU	Clean Out	8:50	9:50	1018	1248	
11/05/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	11:15	12:05	1060	1017	
12/05/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:15	9:50	1266	1220	
14/05/2023	LNB547-CE	CTU	Clean Out	10:15	12:50	1188	1387	
16/05/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	8:10	8:40	792	785	En vue Clean Out 
16/05/2023	LNB627-CE	CTU	Clean Out	11:45	13:35	785	992	
17/05/2023	LNB136-CE	CTU	Clean Out	11:50	12:50	880	1262	
20/05/2023	LNB234-CE	CTU	Clean Out	10:00	12:20	610	565	
20/05/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	14:50	15:25	565	735	
21/05/2023	LNB547-CE	SLICKLINE	Pose Storm Choke	10:35	11:10	1340	1273	
22/05/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	10:15	11:10	933	860	
23/05/2023	LNB136-CE	CTU	Clean Out	8:35	10:00	927	1245	
23/05/2023	LNB627-CE	CTU	Clean Out	10:00	10:45	705	1000	
23/05/2023	LNB712-CE	MAINTENANCE SURFACE	Intervention Sur Système De Sécurité De Surface	18:10	18:30	1188	1202	
25/05/2023	LNB136-CE	SLICKLINE	Pose Storm Choke	16:55	17:50	1219	1156	
26/05/2023	LNB234-CE	CTU	Clean Out	8:40	10:00	655	629	
26/05/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	12:45	14:45	629	678	Négatif 
26/05/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	16:50	18:30	678	910	
26/05/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	9:25	10:05	1130	1161	En vue Clean Out 
26/05/2023	LNB712-CE	CTU	Clean Out	11:45	14:45	1161	1322	
26/05/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	16:42	17:50	1127	1203	En vue Clean Out 
29/05/2023	LNB627-CE	CTU	Clean Out	12:00	13:30	724	1100	
29/05/2023	LNB136-CE	CTU	Clean Out	10:20	11:10	1030	1301	
29/05/2023	LNB234-CE	CTU	Clean Out	11:25	12:30	786	970	
30/05/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	10:25	11:00	1102	1030	
30/05/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	11:10	11:50	952	872	
02/06/2023	LNB712-CE	CTU	Clean Out	10:00	10:50	1193	1341	
03/06/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	9:15	9:50	824	817	
03/06/2023	LNB627-CE	CTU	Clean Out	14:00	15:00	817	1050	
03/06/2023	LNB136-CE	CTU	Clean Out	11:10	12:10	1076	1287	
04/06/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:00	10:00	1328	1246	
04/06/2023	LNB234-CE	CTU	Clean Out	8:50	9:50	669	734	
04/06/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	13:00	14:10	684	994	
08/06/2023	LNB136-CE	CTU	Clean Out	11:45	13:20	1021	1294	
09/06/2023	LNB627-CE	CTU	Clean Out	10:15	11:15	900	1020	
10/06/2023	LNB627-CE	SLICKLINE	Pose Storm Choke	8:30	9:25	992	991	
10/06/2023	LNB234-CE	CTU	Clean Out	10:45	11:45	710	987	
10/06/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	16:55	17:40	987	930	
13/06/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	7:40	8:50	1066	1285	En vue Clean Out
14/06/2023	LNB712-CE	CTU	Clean Out	9:20	10:50	1015	1338	
14/06/2023	LNB136-CE	CTU	Clean Out	12:00	13:00	900	1299	
14/06/2023	LNB627-CE	SLICKLINE	Retrait Storm Choke	7:55	8:40	722	739	En vue Clean Out
14/06/2023	LNB234-CE	DECLENCHEMENT	Sécurité De Fond 	23:05	23:59	705	705	
15/06/2023	LNB234-CE	DECLENCHEMENT	Sécurité De Fond 	0:00	4:00	705	705	
15/06/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	5:50	11:40	705	705	Négatif 
15/06/2023	LNB627-CE	CTU	Clean Out	12:20	13:20	735	1020	
15/06/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	16:30	17:05	1330	1259	
16/06/2023	LNB234-CE	CTU	Clean Out	11:10	12:20	700	538	
16/06/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	17:50	18:35	546	736	
19/06/2023	LNB136-CE	CTU	Clean Out	11:35	13:00	1055	1288	
20/06/2023	LNB627-CE	CTU	Clean Out	11:35	12:20	945	1020	
23/06/2023	LNB234-CE	CTU	Clean Out	8:50	10:20	760	964	
25/06/2023	LNB136-CE	CTU	Clean Out	8:45	10:10	1085	1308	
25/06/2023	LNB627-CE	CTU	Clean Out	10:55	11:45	748	1007	
25/06/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	7:30	8:45	1175	1270	En vue Clean Out
27/06/2023	LNB712-CE	CTU	Clean Out	9:10	9:50	1097	1366	
27/06/2023	LNB136-CE	SLICKLINE	Pose Storm Choke	10:30	11:25	1273	1186	
27/06/2023	LNB234-CE	CTU	Clean Out	8:40	9:35	850	957	
28/06/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:55	11:00	1341	1275	
30/06/2023	LNB627-CE	CTU	Clean Out	8:30	9:20	766	988	
01/07/2023	LNB136-CE	SLICKLINE	Retrait Storm Choke	9:40	10:20	1052	1094	En vue Clean Out
02/07/2023	LNB136-CE	CTU	Clean Out	8:45	9:45	1094	1290	
04/07/2023	LNB627-CE	CTU	Clean Out	11:30	12:35	810	1035	
05/07/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	9:10	10:10	936	940	En vue Clean Out
05/07/2023	LNB712-CE	CTU	Clean Out	13:15	14:10	940	1355	
09/07/2023	LNB627-CE	POMPAGE	Bullheading Pour Nettoyage	12:10	15:45	801	980	
09/07/2023	LNB136-CE	CTU	Clean Out	15:00	15:45	1040	1270	
11/07/2023	LNB234-CE	CTU	Clean Out	12:00	12:40	721	969	
14/07/2023	LNB136-CE	CTU	Clean Out	11:10	11:55	935	1246	
14/07/2023	LNB627-CE	CTU	Clean Out	10:10	11:05	805	1075	
14/07/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	10:50	11:45	815	745	
14/07/2023	LNB547-CE	MAINTENANCE SURFACE	Graissage Des Vannes					
15/07/2023	LNB712-CE	CTU	Clean Out	9:35	10:30	1025	1339	
16/07/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	8:45	9:50	740	751	En vue Clean Out
17/07/2023	LNB234-CE	CTU	Clean Out	9:20	10:25	680	969	
17/07/2023	LNB547-CE	SLICKLINE	Retrait Storm Choke	8:25	9:10	1087	1137	En vue Clean Out
18/07/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	11:10	11:50	956	888	
18/07/2023	LNB547-CE	CTU	Clean Out	12:35	13:15	1116	1112	
19/07/2023	LNB627-CE	CTU	Clean Out	9:20	10:15	898	1042	
19/07/2023	LNB547-CE	SLICKLINE	Pose Storm Choke	10:00	10:40	1109	1085	
20/07/2023	LNB136-CE	CTU	Clean Out	11:50	12:25	935	1256	
21/07/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	9:20	10:05	741	813	En vue Clean Out
22/07/2023	LNB234-CE	CTU	Clean Out	10:50	11:40	741	967	
22/07/2023	LNB547-CE	SLICKLINE	Retrait Storm Choke	10:50	12:15	952	825	En vue Clean Out
23/07/2023	LNB547-CE	CTU	Clean Out	9:10	10:30	762	1380	
24/07/2023	LNB712-CE	CTU	Clean Out	10:00	10:40	1061	1336	
24/07/2023	LNB627-CE	CTU	Clean Out	9:00	9:55	815	1017	
24/07/2023	LNB547-CE	SLICKLINE	Pose Storm Choke	11:30	12:10	1347	1273	
25/07/2023	LNB712-CE	RESEAU DE COLLECTE	Banalisation	9:10	11:00	1327	1073	du SBC vers SBN
26/07/2023	LNB136-CE	CTU	Clean Out	10:35	11:15	1068	1250	
28/07/2023	LNB234-CE	CTU	Clean Out	10:05	11:00	810	956	
29/07/2023	LNB627-CE	CTU	Clean Out	10:35	11:30	822	990	
01/08/2023	LNB136-CE	CTU	Clean Out	9:00	10:25	1089	1247	
01/08/2023	LNB547-CE	SLICKLINE	Retrait Storm Choke	9:40	12:45	1135	1149	En vue Clean Out
03/08/2023	LNB712-CE	CTU	Clean Out	9:55	10:55	936	1206	
03/08/2023	LNB627-CE	CTU	Clean Out	10:25	11:30	727	960	
03/08/2023	LNB234-CE	CTU	Clean Out	10:10	11:20	780	953	
04/08/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:55	11:00	1182	1125	
04/08/2023	LNB547-CE	CTU	Clean Out	8:40	10:50	1003	1293	
05/08/2023	LNB547-CE	SLICKLINE	Pose Storm Choke	10:55	11:40	1271	1238	
07/08/2023	LNB136-CE	CTU	Clean Out	9:00	10:30	1110	1257	
07/08/2023	LNB234-CE	CTU	Clean Out	9:30	10:30	771	956	
08/08/2023	LNB627-CE	CTU	Clean Out	8:15	9:30	681	988	
11/08/2023	LNB234-CE	CTU	Clean Out	10:10	11:10	732	947	
11/08/2023	LNB627-CE	DECLENCHEMENT	Manque Tension	3:00	4:45	977	977	
12/08/2023	LNB627-CE	DECLENCHEMENT	Manque Tension	3:30	4:55	930	930	
13/08/2023	LNB627-CE	CTU	Clean Out	9:25	10:20	726	1055	
14/08/2023	LNB136-CE	CTU	Clean Out	9:20	10:00	1045	1243	
14/08/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	7:45	8:45	1013	1008	En vue Clean Out
15/08/2023	LNB712-CE	CTU	Clean Out	9:45	10:25	900	1184	
16/08/2023	LNB712-CE	SLICKLINE	Pose Storm Choke	9:00	9:55	1180	1120	
17/08/2023	LNB627-CE	DECLENCHEMENT	Manque Tension	4:10	6:10	964	964	
18/08/2023	LNB547-CE	SLICKLINE	Retrait Storm Choke	8:10	9:20	1146	1164	En vue Clean Out
19/08/2023	LNB547-CE	CTU	Clean Out	9:40	11:40	1170	1319	
20/08/2023	LNB627-CE	CTU	Clean Out	9:00	10:00	788	979	
21/08/2023	LNB136-CE	CTU	Clean Out	9:30	10:30	1107	1225	
21/08/2023	LNB547-CE	SLICKLINE	Pose Storm Choke	16:25	17:35	1299	1203	
22/08/2023	LNB627-CE	DECLENCHEMENT	Manque Tension	0:15	1:20	957	957	
25/08/2023	LNB712-CE	SLICKLINE	Retrait Storm Choke	8:30	9:10	971	1020	En vue Clean Out
25/08/2023	LNB712-CE	CTU	Clean Out	12:15	13:10	1020	1179	
26/08/2023	LNB627-CE	CTU	Clean Out	9:10	10:10	760	1004	
28/08/2023	LNB136-CE	CTU	Clean Out	8:30	9:50	1040	1238	
30/08/2023	LNB234-CE	CTU	Clean Out	11:45	12:40	697	950	
30/08/2023	LNB234-CE	DECLENCHEMENT	Sécurité De Surface 	13:50	14:40	950	940	
31/08/2023	LNB627-CE	CTU	Clean Out	11:50	13:00	802	1000	
31/08/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	8:20	9:20	921	860	
03/09/2023	LNB712-CE	CTU	Clean Out	9:20	10:15	835	1201	
04/09/2023	LNB136-CE	CTU	Clean Out	9:25	10:25	945	1206	
04/09/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	10:30	11:20	739	759	En vue Clean Out
04/09/2023	LNB234-CE	CTU	Clean Out	15:20	16:05	759	939	
05/09/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	12:00	12:20	932	855	
06/09/2023	LNB627-CE	CTU	Clean Out	9:20	10:35	732	1035	
08/09/2023	LNB234-CE	SLICKLINE	Retrait Storm Choke	9:40	11:00	725	823	En vue Clean Out
08/09/2023	LNB234-CE	CTU	Clean Out	14:30	15:35	823	933	
11/09/2023	LNB627-CE	CTU	Clean Out	10:35	11:30	793	1019	
12/09/2023	LNB136-CE	CTU	Clean Out	9:00	10:00	969	1219	
13/09/2023	LNB712-CE	CTU	Clean Out	11:00	11:50	887	1196	
13/09/2023	LNB234-CE	CTU	Clean Out	10:00	11:00	654	936	
16/09/2023	LNB627-CE	CTU	Clean Out	11:40	12:35	815	1025	
17/09/2023	LNB136-CE	CTU	Clean Out	9:40	11:05	1024	1269	
18/09/2023	LNB234-CE	CTU	Clean Out	9:25	10:10	700	944	
19/09/2023	LNB627-CE	RESEAU DE COLLECTE	Banalisation	11:30	12:20	962	811	du SBC vers SBN
22/09/2023	LNB712-CE	CTU	Clean Out	11:35	12:35	804	1161	
23/09/2023	LNB627-CE	RESEAU DE COLLECTE	Banalisation	8:10	8:50	593	699	Vers SBC
23/09/2023	LNB627-CE	CTU	Clean Out	9:55	10:55	699	1047	
23/09/2023	LNB136-CE	POMPAGE	Bullheading Pour Nettoyage	15:20	17:40	927	1022	
23/09/2023	LNB234-CE	CTU	Clean Out	10:50	11:45	704	940	
24/09/2023	LNB712-CE	RESEAU DE COLLECTE	Banalisation	10:25	10:55	1175	1316	de SBC vers SBN
28/09/2023	LNB136-CE	POMPAGE	Bullheading Pour Nettoyage	15:15	18:20	960	1215	
29/09/2023	LNB627-CE	CTU	Clean Out	11:30	12:00	780	1006	
29/09/2023	LNB234-CE	CTU	Clean Out	11:40	13:05	730	940	
30/09/2023	LNB712-CE	CTU	Clean Out	12:35	13:15	970	1315	
04/10/2023	LNB627-CE	CTU	Clean Out	9:45	10:35	776	1030	
04/10/2023	LNB136-CE	POMPAGE	Bullheading Pour Nettoyage	12:30	15:00	800	1006	
06/10/2023	LNB627-CE	RESEAU DE COLLECTE	Arrêt Collecteur	11:40	15:15	1015	1095	Tie-in Jonction W8 M1 puits HRC073 
06/10/2023	LNB234-CE	SLICKLINE	Pose Storm Choke	11:45	13:20	890	810	
